month,temp,prec
Jan,6.22,39.99
Feb,7.46,28.11
Mar,9.04,21.56
Apr,11.79,11.04
May,15.55,16.55
Jun,19.33,59.57
Jul,19.28,211.84
Aug,18.77,198.02
Sep,17.59,103.26
Oct,13.87,54.85
Nov,10.04,27.86
Dec,7.6,44.75
