month,temp,prec
Jan,-7.47,38.05
Feb,-6.8,29.75
Mar,-2.98,33.03
Apr,1.48,40.83
May,8,47.6
Jun,12.53,72.77
Jul,14.71,85.87
Aug,13.13,68
Sep,8.26,67.49
Oct,3.44,49.96
Nov,-2.19,48.33
Dec,-6.27,43.44
