month,temp,prec
Jan,-4.91,13.71
Feb,-2.95,17.1
Mar,1.35,36.92
Apr,6.89,68.86
May,12.16,95.57
Jun,17.6,88.76
Jul,21.47,58.54
Aug,20.57,45.96
Sep,14.78,40.48
Oct,8.46,48.83
Nov,0.97,22.37
Dec,-4.21,19.3
