month,temp,prec
Jan,12,74
Feb,13.2,72
Mar,16.8,75
Apr,19.8,51
May,23.3,66
Jun,26.2,109
Jul,27,145
Aug,27,143
Sep,25.8,92
Oct,21.1,38
Nov,16.7,41
Dec,13.2,79
