month,temp,prec
Jan,-23.7,22
Feb,-23.2,19
Mar,-15.8,20
Apr,-9,26
May,-1.1,37
Jun,8.7,49
Jul,15.3,68
Aug,11.9,64
Sep,6,47
Oct,-3.5,43
Nov,-14.3,27
Dec,-19.5,25
