month,temp,prec
Jan,-4.5,109
Feb,-2.5,102
Mar,-1,79
Apr,2.7,61
May,6.6,72
Jun,10.3,66
Jul,12.3,90
Aug,11.8,120
Sep,8.7,178
Oct,4.5,220
Nov,-0.3,150
Dec,-2.6,145
