month,temp,prec
Jan,-23.9,38
Feb,-22.4,34
Mar,-16.6,35
Apr,-8.1,35
May,0.5,37
Jun,7.6,64
Jul,12,80
Aug,10.8,81
Sep,5.7,75
Oct,-0.9,63
Nov,-8.6,55
Dec,-19,41
