month,temp,prec
Jan,0,128
Feb,0.4,116
Mar,3.5,134
Apr,9.8,148
May,14.8,163
Jun,18.7,247
Jul,23,257
Aug,24.1,175
Sep,19.9,232
Oct,13.6,140
Nov,8.1,106
Dec,2.9,111
