month,temp,prec
Jan,0.08,159.64
Feb,1.49,133.21
Mar,3.22,131.41
Apr,5.46,85.24
May,9.13,59.44
Jun,12.95,33.07
Jul,16.58,16.15
Aug,16.5,25.65
Sep,13.06,40.35
Oct,8.61,75.97
Nov,2.54,190.91
Dec,-0.31,185.51
