month,temp,prec
Jan,12.5,77
Feb,12.3,89
Mar,11.1,120
Apr,9.9,182
May,7.7,288
Jun,6.3,326
Jul,5.9,329
Aug,6.1,269
Sep,6.9,177
Oct,8.4,129
Nov,9.6,107
Dec,11.1,108
