month,temp,prec
Jan,-2.15,120.71
Feb,-2.18,90.88
Mar,-1.41,93.65
Apr,-0.04,107.68
May,4,135.14
Jun,8.42,112.88
Jul,11.98,71.6
Aug,11.89,101.91
Sep,9.01,94.49
Oct,4.74,118.94
Nov,0.56,108.89
Dec,-1.57,115.33
