month,temp,prec
Jan,-8.6,21
Feb,-7.2,22
Mar,-0.1,39
Apr,8.7,65
May,14.2,73
Jun,18.7,53
Jul,21.2,37
Aug,20.3,30
Sep,15,27
Oct,7.3,40
Nov,-0.6,33
Dec,-5.7,23
