month,temp,prec
Jan,-0.4,108.3
Feb,1.25,107.54
Mar,5.85,138.61
Apr,9.9,117.28
May,14.29,145.17
Jun,18.12,131.33
Jul,20.21,128.72
Aug,19.51,124.02
Sep,16.47,122.59
Oct,10.96,118.55
Nov,6.38,117.73
Dec,1.96,96.53
