month,temp,prec
Jan,15.69,26.03
Feb,15.33,40.87
Mar,12.96,65.26
Apr,9.07,72.96
May,6.32,162.35
Jun,4.05,190.18
Jul,3.34,143.13
Aug,4.68,104.74
Sep,7.03,77.51
Oct,9.77,52.6
Nov,12.34,45.95
Dec,14.75,36.97
