month,temp,prec
Jan,-16.52,3.37
Feb,-14.39,6.18
Mar,-6.97,13.69
Apr,1.95,22.61
May,6.45,49.66
Jun,9.98,63.61
Jul,12.51,59.13
Aug,11.76,52.21
Sep,7.18,34.49
Oct,0.51,17.83
Nov,-7.14,7.98
Dec,-13.17,7.06
