month,temp,prec
Jan,-8.08,16.63
Feb,-7.05,20.42
Mar,-3.78,48.78
Apr,0.35,56.5
May,5.1,62.65
Jun,10.27,62.05
Jul,13.01,91.94
Aug,11.92,93.51
Sep,8.13,43.72
Oct,2.83,32.88
Nov,-3.56,26.44
Dec,-7.59,25.96
