month,temp,prec
Jan,-11.6,53
Feb,-10.2,40
Mar,-7.9,43
Apr,-3,39
May,2,51
Jun,6.4,54
Jul,10.1,33
Aug,9.5,37
Sep,5.2,39
Oct,0.6,32
Nov,-6.4,44
Dec,-11.6,54
