month,temp,prec
Jan,-4.45,52.69
Feb,-4.02,37.21
Mar,-0.63,53.11
Apr,3.42,36.1
May,9.16,49.46
Jun,13.3,61.51
Jul,15.43,71.06
Aug,14.44,81.14
Sep,10.1,78.18
Oct,5.28,83.64
Nov,-0.06,69.97
Dec,-3.57,50.72
