id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.0667519484254224,FALSE,-0.0787979696792682,0.243715962632645
2,prec,jul,0.071044014166597,FALSE,-0.10430679981937,0.26444927002172
3,prec,aug,-0.0649701906909205,FALSE,-0.228811731867194,0.13267551272969
4,prec,sep,-0.0993028918008735,FALSE,-0.28424956188276,0.0888745217480651
5,prec,oct,-0.00142951546551181,FALSE,-0.204414065456318,0.181064189836792
6,prec,nov,0.0216520521975742,FALSE,-0.176775001994743,0.215280405011481
7,prec,dec,-0.104243632923141,FALSE,-0.266381576820382,0.0977337458696096
8,prec,JAN,-0.020490833751362,FALSE,-0.196721873448472,0.158122204560016
9,prec,FEB,0.148743563788756,FALSE,-0.0251966671582343,0.322271408886209
10,prec,MAR,-0.0253130818735807,FALSE,-0.211488685399282,0.153167036147621
11,prec,APR,-0.103648989389971,FALSE,-0.252932328674977,0.0522560384492362
12,prec,MAY,0.0497983629530388,FALSE,-0.132487408234445,0.208823083304952
13,prec,JUN,0.184886969947452,TRUE,0.0215442753152357,0.368210980534665
14,prec,JUL,0.0120094197194225,FALSE,-0.150519319202125,0.179187640420788
15,prec,AUG,0.0868754978177835,FALSE,-0.090204090145121,0.257693856913599
16,prec,SEP,-0.133597755806672,FALSE,-0.284313152109308,0.0110185173987705
17,temp,jun,0.0686671424227386,FALSE,-0.127272797285334,0.257716600593331
18,temp,jul,0.130972808975695,FALSE,-0.0545950953722959,0.302614469929127
19,temp,aug,0.0865458795526346,FALSE,-0.065462092842767,0.245881866296449
20,temp,sep,0.0178987508347792,FALSE,-0.2247658790684,0.223828271176909
21,temp,oct,0.00424379739186407,FALSE,-0.181497839813883,0.1988523958092
22,temp,nov,-0.0320601679491033,FALSE,-0.211363616936518,0.130811958582191
23,temp,dec,0.0675912641584357,FALSE,-0.120011833496101,0.263442088543092
24,temp,JAN,0.170893147437726,FALSE,-0.00536268358646457,0.336188272528861
25,temp,FEB,0.0540573446393545,FALSE,-0.152048058762906,0.239231246474325
26,temp,MAR,0.0946425760317802,FALSE,-0.0986814196313195,0.303006028839752
27,temp,APR,-0.101685734781082,FALSE,-0.274127662919413,0.0870828137567667
28,temp,MAY,-0.0559405825996337,FALSE,-0.247951222727245,0.123517595317856
29,temp,JUN,-0.112805867749174,FALSE,-0.296996158384169,0.0850259217065025
30,temp,JUL,-0.00397654666151193,FALSE,-0.158159385716831,0.189762542472503
31,temp,AUG,-0.00274212259783547,FALSE,-0.1468102084425,0.148624651671733
32,temp,SEP,-0.0138303228729515,FALSE,-0.219730362701323,0.187119038685684
