month,prec,temp,precs,temps
jun,-0.03721807601898,0.0964749385765507,FALSE,FALSE
jul,0.0875411901745769,0.0309355922939117,FALSE,FALSE
aug,0.181198607883123,-0.150492524350549,TRUE,TRUE
sep,0.16466337124269,0.00316880268723493,TRUE,FALSE
oct,0.0156254988177958,0.0394261147254654,FALSE,FALSE
nov,0.077645640061101,-0.0271988116045662,FALSE,FALSE
dec,0.084511629721639,-0.0214731124438532,FALSE,FALSE
JAN,0.0772199963358672,0.0511517259170881,FALSE,FALSE
FEB,-0.0692073990326123,0.00684219465778185,FALSE,FALSE
MAR,0.215757618416442,-0.0454129567519434,TRUE,FALSE
APR,0.0831043350162977,-0.0303736210642235,FALSE,FALSE
MAY,0.206589770076429,-0.109922052964325,TRUE,FALSE
JUN,0.18879062335319,-0.298670331794646,TRUE,TRUE
JUL,0.193269651553052,-0.0768772720923961,TRUE,FALSE
AUG,0.0146703743032241,-0.00390544545613633,FALSE,FALSE
SEP,0.0569994568931404,-0.0506783415129229,FALSE,FALSE
