month,prec,temp,precs,temps
jun,-0.106208322875066,-0.140677867971905,FALSE,FALSE
jul,-0.00904934035812288,0.00202871241889133,FALSE,FALSE
aug,-0.0507278402936417,0.0135978555343447,FALSE,FALSE
sep,-0.0350730020119424,0.0435506016333624,FALSE,FALSE
oct,-0.00182448240046524,0.0885210310221372,FALSE,FALSE
nov,-0.0836240458157226,-0.010491383755191,FALSE,FALSE
dec,-0.0012172872104424,0.0575486064549783,FALSE,FALSE
JAN,-0.0632761110478193,-0.0597807681885777,FALSE,FALSE
FEB,-0.0992963679134821,-0.0314421266563172,FALSE,FALSE
MAR,0.071754734972503,0.109197078911804,FALSE,FALSE
APR,0.0292458236242508,-0.0724537772326328,FALSE,FALSE
MAY,-0.0525251676854072,0.0311035548702393,FALSE,FALSE
JUN,-0.0447131015433349,0.0609384411936582,FALSE,FALSE
JUL,0.0870497900910503,0.225307145792813,FALSE,FALSE
AUG,0.0592910380838067,0.0824635429336379,FALSE,FALSE
SEP,-0.0999408421822114,0.029390824147285,FALSE,FALSE
