id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.0110803448357618,FALSE,-0.221499610968005,0.206045718056711
2,prec,jul,0.101766429585283,FALSE,-0.127325910826048,0.312088276008832
3,prec,aug,0.264206710870174,TRUE,0.0277052902578755,0.48996005944007
4,prec,sep,-0.0265114522756563,FALSE,-0.223089484989867,0.19034090007033
5,prec,oct,-0.0386716972492599,FALSE,-0.25442613879044,0.178512862507422
6,prec,nov,0.079746319397837,FALSE,-0.137875606780703,0.279629243147307
7,prec,dec,0.0441475120054868,FALSE,-0.166201779796475,0.232642106108073
8,prec,JAN,0.0946159753380404,FALSE,-0.167350379531572,0.280907022382908
9,prec,FEB,-0.070207235603845,FALSE,-0.251803555301426,0.138920690532168
10,prec,MAR,0.0310570846296926,FALSE,-0.182049692268481,0.252926938887845
11,prec,APR,0.0205697353798626,FALSE,-0.18424221305912,0.224234560744674
12,prec,MAY,0.0977645642634509,FALSE,-0.0708008394602924,0.276448908130846
13,prec,JUN,0.176840098827494,FALSE,-0.0633172383198405,0.394810842696803
14,prec,JUL,0.159431538935223,FALSE,-0.0327195235432438,0.352015532519106
15,prec,AUG,0.0914528543167737,FALSE,-0.134334979382167,0.304975204352746
16,prec,SEP,0.00280132949152925,FALSE,-0.185253976010644,0.183888927337134
17,temp,jun,0.129917151289317,FALSE,-0.0642942043701828,0.316435787299937
18,temp,jul,-0.0530587032297342,FALSE,-0.27103899993027,0.146760147025483
19,temp,aug,-0.114884912683263,FALSE,-0.312545618719149,0.087179635312876
20,temp,sep,-0.0338387016143183,FALSE,-0.219217497135982,0.168010531144804
21,temp,oct,-0.106000803368083,FALSE,-0.345684261433199,0.0994467154186629
22,temp,nov,0.049903982455166,FALSE,-0.148377522819657,0.248744676588053
23,temp,dec,0.0742147251473684,FALSE,-0.131562033936734,0.275570386321456
24,temp,JAN,0.0915358858476682,FALSE,-0.151361435127079,0.33297905836611
25,temp,FEB,0.132055358731405,FALSE,-0.0825491828904307,0.331783726598388
26,temp,MAR,-0.128964683038086,FALSE,-0.302545344002399,0.0397874813179501
27,temp,APR,0.0052170273193591,FALSE,-0.197332773714633,0.206666006986496
28,temp,MAY,0.117981068156977,FALSE,-0.141285575333122,0.349944470403791
29,temp,JUN,-0.123057393543295,FALSE,-0.310249457315368,0.0752701578297065
30,temp,JUL,-0.070348634954362,FALSE,-0.27567208143978,0.11643907776317
31,temp,AUG,0.027315398666605,FALSE,-0.163411352987836,0.22926907309859
32,temp,SEP,0.0947138388671667,FALSE,-0.1086437453373,0.289321664511918
