month,prec,temp,precs,temps
jun,-0.0470907282643453,-0.139006949605618,FALSE,FALSE
jul,0.0534847564418174,-0.0963677977114691,FALSE,FALSE
aug,0.166084310202392,-0.147243157333663,TRUE,FALSE
sep,0.0297851734026911,-0.259638118558282,FALSE,TRUE
oct,0.138950531982145,-0.198255552738022,FALSE,TRUE
nov,0.180851647110895,-0.14884570689274,TRUE,FALSE
dec,0.080214350732862,0.145505038194574,FALSE,TRUE
JAN,0.166265386653911,0.14409512120004,TRUE,TRUE
FEB,0.111498269846697,0.0865301883047366,FALSE,FALSE
MAR,0.223487238997433,0.0228247162378925,TRUE,FALSE
APR,0.0179261282243541,0.125848875719594,FALSE,FALSE
MAY,0.047474671284432,0.0961176315215442,FALSE,FALSE
JUN,-0.0465910284696853,-0.0859251775451656,FALSE,FALSE
JUL,-0.0502557611038837,-0.113917198902418,FALSE,FALSE
AUG,-0.112604645913846,0.0716695957532889,FALSE,FALSE
SEP,0.058358946349452,0.0702598779457419,FALSE,FALSE
