id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.0936083985290708,FALSE,-0.0476313926924961,0.245590824939919
2,prec,jul,0.0202746182962963,FALSE,-0.118678348864565,0.1765465261608
3,prec,aug,0.129420241367388,FALSE,-0.0335792460840972,0.274338020780987
4,prec,sep,0.044452288707529,FALSE,-0.135030525863822,0.206747435086968
5,prec,oct,0.0778175441997868,FALSE,-0.0762052697196565,0.222858674837834
6,prec,nov,0.0141952217519816,FALSE,-0.124079714929312,0.157689443183102
7,prec,dec,0.0179893712047204,FALSE,-0.138474377094155,0.16147467036356
8,prec,JAN,-0.019821214295846,FALSE,-0.211156994886861,0.127364327070215
9,prec,FEB,-0.177239943377279,TRUE,-0.34876048822535,-0.0166602158797982
10,prec,MAR,-0.0395214471773165,FALSE,-0.197076227431238,0.102442257066305
11,prec,APR,-0.00646673205636746,FALSE,-0.165457047641419,0.156880413027842
12,prec,MAY,0.0575422965223188,FALSE,-0.119512360526945,0.207349392250514
13,prec,JUN,0.121275487609154,FALSE,-0.0303605636822435,0.289686660258595
14,prec,JUL,0.0696619319125958,FALSE,-0.13975076933203,0.226729521193898
15,prec,AUG,0.0383524715467498,FALSE,-0.116276292327711,0.22231152628531
16,prec,SEP,0.0545555568839692,FALSE,-0.0842699354581096,0.194137762682444
17,temp,jun,-0.0803120943559471,FALSE,-0.252926665769431,0.0753414033572156
18,temp,jul,-0.0615065394297457,FALSE,-0.209990174702088,0.0758875154415259
19,temp,aug,-0.0418510437430039,FALSE,-0.166063896056776,0.108463560271804
20,temp,sep,-0.155591280859816,TRUE,-0.305505570872659,-0.00464248025436152
21,temp,oct,-0.0611638346058487,FALSE,-0.226236567049287,0.11720477429167
22,temp,nov,-0.0479944493199211,FALSE,-0.2460728370031,0.123835230157577
23,temp,dec,0.0825355920608792,FALSE,-0.0832641260768664,0.256863857640333
24,temp,JAN,-0.00549342079506328,FALSE,-0.148296894468892,0.148429834811018
25,temp,FEB,-0.0477345484016798,FALSE,-0.243788848858724,0.156399997904545
26,temp,MAR,0.197846231305421,TRUE,0.0368929737715629,0.332465272523219
27,temp,APR,0.0314150347635672,FALSE,-0.110819185178186,0.150475423287733
28,temp,MAY,-0.105856661942784,FALSE,-0.272163800203571,0.0464020691072541
29,temp,JUN,-0.0993144498350124,FALSE,-0.230071019636897,0.0653297908349183
30,temp,JUL,-0.13883571904938,FALSE,-0.306514597874702,0.0163102532223637
31,temp,AUG,0.0144731602514304,FALSE,-0.125029279636399,0.185504949343733
32,temp,SEP,-0.005220451788857,FALSE,-0.173751128749819,0.155521426549752
