month,prec,temp,precs,temps
jun,0.115757133226806,-0.10487403050097,FALSE,FALSE
jul,0.0138588194192313,0.0732200119354883,FALSE,FALSE
aug,0.0577886532712603,0.0620448182347072,FALSE,FALSE
sep,0.0787460892392401,-0.108009432976399,FALSE,FALSE
oct,0.133538766719532,-0.00999014898525324,FALSE,FALSE
nov,0.128711187085833,-0.149036947250105,FALSE,FALSE
dec,0.0510909872224879,0.0293477218987815,FALSE,FALSE
JAN,0.135586046589524,-0.109848871477583,FALSE,FALSE
FEB,-0.0102594035167238,-0.114835152648041,FALSE,FALSE
MAR,-0.0251308205339001,-0.058956106927071,FALSE,FALSE
APR,0.180139195961381,-0.0398474802594413,FALSE,FALSE
MAY,0.033037691473494,-0.0151899313176471,FALSE,FALSE
JUN,0.145645826256135,-0.169727657549418,FALSE,TRUE
JUL,-0.0473901254434862,-0.0527608736244031,FALSE,FALSE
AUG,0.0758609539652605,0.162068577894407,FALSE,FALSE
SEP,-0.0409303946635751,0.0786503776428068,FALSE,FALSE
