id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,-0.109329857740661,FALSE,-0.250258457460298,0.0863390769372448
2,prec,jul,0.0747467782439884,FALSE,-0.0840981517784488,0.221902850581868
3,prec,aug,0.0155411595895414,FALSE,-0.141714411088502,0.171550071647331
4,prec,sep,0.0568711303746353,FALSE,-0.0913249046560064,0.198909866418565
5,prec,oct,0.21907225081955,TRUE,0.0606307942857239,0.366047045752242
6,prec,nov,0.252575354517594,TRUE,0.0840417102251773,0.418412366893379
7,prec,dec,0.25988416736016,TRUE,0.100156603288128,0.395092429636957
8,prec,JAN,0.222988711536442,TRUE,0.0393816652740159,0.423865874826619
9,prec,FEB,0.115275394719559,FALSE,-0.0442282200220115,0.265398964227065
10,prec,MAR,0.0825154732115089,FALSE,-0.0423481196946985,0.236165717666636
11,prec,APR,0.105581225846777,FALSE,-0.0619019332059915,0.263313296186242
12,prec,MAY,0.0228436382003357,FALSE,-0.151720564642555,0.193146957158338
13,prec,JUN,0.143714776735645,FALSE,-0.00859072237490421,0.297873107825359
14,prec,JUL,0.0913677101606907,FALSE,-0.0487351830684671,0.2412537825932
15,prec,AUG,-0.0315954449786408,FALSE,-0.188669666850496,0.126115887716614
16,prec,SEP,-0.0268625095742697,FALSE,-0.18088850377662,0.112755660232349
17,temp,jun,-0.0335474867662747,FALSE,-0.187372283571419,0.127575671723286
18,temp,jul,-0.0359662618170157,FALSE,-0.176992886704384,0.121787319381968
19,temp,aug,-0.0848441879544442,FALSE,-0.222140998133359,0.0501817308690398
20,temp,sep,-0.0194416176391136,FALSE,-0.162228987170608,0.115386482701914
21,temp,oct,-0.154945052412541,FALSE,-0.289445346292867,0.0268712125245938
22,temp,nov,-0.0748112678440166,FALSE,-0.219890903477106,0.0725949082570484
23,temp,dec,0.121060233600511,FALSE,-0.0256014698887966,0.287282165014087
24,temp,JAN,-0.0642200726292046,FALSE,-0.230358691702883,0.0824510480220079
25,temp,FEB,0.129293495488438,FALSE,-0.0121495399417728,0.278204360789847
26,temp,MAR,-0.0136652135210573,FALSE,-0.178135314484186,0.12736732286615
27,temp,APR,-0.0827126664023598,FALSE,-0.232201745658319,0.077725117491415
28,temp,MAY,-0.0774777041923483,FALSE,-0.248330965948425,0.0735113853412439
29,temp,JUN,-0.132443558545242,FALSE,-0.318559039545604,0.0277534388861732
30,temp,JUL,-0.0309739883488143,FALSE,-0.176350712379321,0.128968225526525
31,temp,AUG,0.02299117889981,FALSE,-0.117919076690221,0.170804108060825
32,temp,SEP,0.0831439204294711,FALSE,-0.0659277878243984,0.235520950867439
