month,prec,temp,precs,temps
jun,-0.0369295945133342,-0.121191283687004,FALSE,FALSE
jul,0.0793142830313236,-0.00235897351106928,FALSE,FALSE
aug,0.0310216796899998,0.122383449066998,FALSE,FALSE
sep,0.00711139596328546,0.0532870681188481,FALSE,FALSE
oct,0.0377358571628448,0.158215624646528,FALSE,FALSE
nov,0.0635469828930438,-0.0331046267027196,FALSE,FALSE
dec,0.0951219226914327,0.0233496753788578,FALSE,FALSE
JAN,-0.0912008935689,0.0852586329278846,FALSE,FALSE
FEB,0.273796944037075,0.00432223182599401,TRUE,FALSE
MAR,0.106558900064262,0.138402504556304,FALSE,FALSE
APR,0.189485283952521,0.152620188768274,FALSE,FALSE
MAY,-0.000428247829308869,-0.0435052102792817,FALSE,FALSE
JUN,0.131862825052664,0.0403741903496514,FALSE,FALSE
JUL,-0.0105300185036018,0.15524558295493,FALSE,FALSE
AUG,0.0102858339856581,-0.137794705163264,FALSE,FALSE
SEP,0.108835021374035,0.123374780737782,FALSE,FALSE
