month,prec,temp,precs,temps
jun,0.100787485870125,0.0448911210720669,FALSE,FALSE
jul,-0.171438800439234,-0.0555179386419326,FALSE,FALSE
aug,0.152472774375376,-0.0701293863247252,FALSE,FALSE
sep,-0.0634672279467723,0.0445742201181465,FALSE,FALSE
oct,-0.036209726789421,-0.0197664162837084,FALSE,FALSE
nov,0.0293305914178217,-0.060388935547841,FALSE,FALSE
dec,0.063151477049094,-0.0599740981399969,FALSE,FALSE
JAN,-0.00724752143503863,0.112360063175001,FALSE,FALSE
FEB,0.0306398548322791,0.147927561189988,FALSE,FALSE
MAR,-0.0158711335481805,0.021337481826756,FALSE,FALSE
APR,0.00409024651817926,-0.0349518795788985,FALSE,FALSE
MAY,0.195779699144232,-0.122758205438064,TRUE,FALSE
JUN,0.340805003404084,-0.0490365826209478,TRUE,FALSE
JUL,-0.00651052410401933,-0.0223275860642513,FALSE,FALSE
AUG,0.0232039388511656,-0.0238790400689956,FALSE,FALSE
SEP,-0.014949304190643,-0.0504952824899544,FALSE,FALSE
