month,prec,temp,precs,temps
jun,-0.0219705153465593,0.228611860717903,FALSE,TRUE
jul,0.0382043127695015,0.093033866824659,FALSE,FALSE
aug,0.0172694206060175,0.0216846348268842,FALSE,FALSE
sep,0.0691313109944882,0.161553940048883,FALSE,FALSE
oct,0.00261554755788786,0.0753884302999036,FALSE,FALSE
nov,-0.064272966510504,0.1122583096395,FALSE,FALSE
dec,0.133171173875508,0.120775957636865,FALSE,FALSE
JAN,0.0308264669520487,0.0506589300682284,FALSE,FALSE
FEB,-0.0759292118630507,-0.0477510203944982,FALSE,FALSE
MAR,0.130713887738595,0.0495212448534334,FALSE,FALSE
APR,0.0526870792065981,0.008694531794048,FALSE,FALSE
MAY,0.0654118478075832,0.00124245997546976,FALSE,FALSE
JUN,-0.0359501946215221,0.0512244478168473,FALSE,FALSE
JUL,-0.068121521620944,0.431372665161939,FALSE,TRUE
AUG,-0.0124878791607351,0.0763321254632951,FALSE,FALSE
SEP,0.038761833872844,0.03723545584595,FALSE,FALSE
