month,prec,temp,precs,temps
jun,-0.0520788314511175,0.00756600711856097,FALSE,FALSE
jul,-0.0247757211326442,-0.0185280560609711,FALSE,FALSE
aug,0.0994393427941662,-0.0438957053413273,FALSE,FALSE
sep,0.0135069647877249,-0.105149622787051,FALSE,FALSE
oct,0.0194525624217813,-0.0979323371101242,FALSE,FALSE
nov,-0.0533572996945072,0.0159594840275081,FALSE,FALSE
dec,0.00353327246853805,0.071684910906841,FALSE,FALSE
JAN,0.0969492192033025,0.0688491387824924,FALSE,FALSE
FEB,0.103920329991302,0.195970899318109,FALSE,TRUE
MAR,-0.000496667550235243,0.16620309102376,FALSE,TRUE
APR,0.0370541082400109,0.238630358935835,FALSE,TRUE
MAY,0.191081401193462,-0.0998543817905314,TRUE,FALSE
JUN,0.089786507545671,-0.079703404965288,FALSE,FALSE
JUL,0.097737024945907,0.0770590115399135,FALSE,FALSE
AUG,-0.0698476578286193,-0.0897656080726141,FALSE,FALSE
SEP,-0.041942607217804,-0.0477484237533068,FALSE,FALSE
