id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,-0.00507386834743212,FALSE,-0.233032105921348,0.186851668289937
2,prec,jul,0.193666227128246,FALSE,-0.00272146926796703,0.382384619706716
3,prec,aug,-0.124035924696712,FALSE,-0.365195556563751,0.16282439032959
4,prec,sep,-0.0589806801482006,FALSE,-0.235195106646203,0.128905815941949
5,prec,oct,-0.103745535779847,FALSE,-0.266910231727913,0.0773154246260258
6,prec,nov,0.0981522518416452,FALSE,-0.0891434892678407,0.292963034578812
7,prec,dec,-0.0911874869759577,FALSE,-0.300971229447794,0.142164279624698
8,prec,JAN,-0.0695811900196521,FALSE,-0.258891518948378,0.138030626511101
9,prec,FEB,0.0291670724785466,FALSE,-0.171693673139182,0.212068020987634
10,prec,MAR,0.067912358234888,FALSE,-0.127254415026,0.235219956355537
11,prec,APR,0.11593929359387,FALSE,-0.108868702194624,0.305691927776128
12,prec,MAY,-0.00727808841214811,FALSE,-0.227724155067815,0.226941334724227
13,prec,JUN,0.0213345615890924,FALSE,-0.169044188632425,0.21702217957008
14,prec,JUL,0.120867044345632,FALSE,-0.0914997413190741,0.31516796191586
15,prec,AUG,-0.127027657548212,FALSE,-0.366440200939501,0.106953333009633
16,prec,SEP,0.102477272220907,FALSE,-0.104771605923392,0.290835159517186
17,temp,jun,-0.135285383456413,FALSE,-0.357001524730092,0.0573656574991484
18,temp,jul,-0.06627353116101,FALSE,-0.255070717523744,0.133516784209571
19,temp,aug,0.0150980370400653,FALSE,-0.175687029314242,0.24090203944923
20,temp,sep,-0.0269909279582956,FALSE,-0.249565716429435,0.16850402531341
21,temp,oct,0.107031924333219,FALSE,-0.0690348654645137,0.28141957288646
22,temp,nov,-0.0471916526333548,FALSE,-0.292261861241937,0.16241760535079
23,temp,dec,0.046253792897816,FALSE,-0.146770132615015,0.308778893736802
24,temp,JAN,-0.115239212445412,FALSE,-0.305337722500177,0.0687580353949577
25,temp,FEB,-0.00174677771643392,FALSE,-0.184906357634193,0.177407050501977
26,temp,MAR,0.00408958726763704,FALSE,-0.214951169632186,0.218926573995622
27,temp,APR,0.049041070627503,FALSE,-0.150582199527131,0.259719091091304
28,temp,MAY,-0.0639413885559239,FALSE,-0.2617684759217,0.12347777957549
29,temp,JUN,0.0580133529038227,FALSE,-0.126212743557179,0.251812140836584
30,temp,JUL,0.251966013937579,TRUE,0.0659246342924892,0.448130943709856
31,temp,AUG,-0.0061842522706552,FALSE,-0.219671218234185,0.186707136593475
32,temp,SEP,-0.123593697702527,FALSE,-0.339725671200493,0.0647879102047038
