month,prec,temp,precs,temps
jun,0.0977549665194268,0.0236841175218406,FALSE,FALSE
jul,0.245211951671147,0.0444099996826339,TRUE,FALSE
aug,0.289461271178652,-0.0407136918008281,TRUE,FALSE
sep,0.0303884036240885,-0.00600532207793226,FALSE,FALSE
oct,0.0164940177665629,-0.062245705218872,FALSE,FALSE
nov,0.12233021606945,0.0530607262714723,FALSE,FALSE
dec,-0.0439627700827184,-0.0344169395937817,FALSE,FALSE
JAN,-0.00205608339746178,0.0276122475809592,FALSE,FALSE
FEB,-0.204376539440955,-0.0761040452724424,TRUE,FALSE
MAR,-0.0337598101648285,-0.094495896663306,FALSE,FALSE
APR,0.0344128124904954,-0.126903277914339,FALSE,FALSE
MAY,0.12174945104907,0.0212572756967633,FALSE,FALSE
JUN,0.363844971533913,-0.205665251467253,TRUE,TRUE
JUL,0.275925688071596,-0.0290269031268511,TRUE,FALSE
AUG,0.00997069464181106,0.0594779883661968,FALSE,FALSE
SEP,0.00969092716334969,0.0430655349907105,FALSE,FALSE
