month,prec,temp,precs,temps
jun,-0.0304538915400602,0.06150142565029,FALSE,FALSE
jul,0.0604250074750934,0.00234231379901076,FALSE,FALSE
aug,-0.044284048337624,-0.0269140522319911,FALSE,FALSE
sep,0.101369862528735,-0.00361961230860102,FALSE,FALSE
oct,0.128879308449592,0.0486944226475652,FALSE,FALSE
nov,0.0569033889624529,-0.0449585769224608,FALSE,FALSE
dec,0.0456414740669684,0.000412978821781845,FALSE,FALSE
JAN,0.0294588287615839,0.0472577789110008,FALSE,FALSE
FEB,-0.0624602957815513,-0.165954763216941,FALSE,TRUE
MAR,0.117367212788466,-0.0545937808103402,FALSE,FALSE
APR,0.115576433275365,-0.157414614288909,FALSE,TRUE
MAY,0.186583827155842,0.198836089685111,TRUE,TRUE
JUN,0.123216394607523,-0.151566020991171,FALSE,TRUE
JUL,0.127596992163204,0.0231686465343362,TRUE,FALSE
AUG,0.0724288102905808,0.15104904340958,FALSE,FALSE
SEP,-0.0208382165563475,-0.064794178920433,FALSE,FALSE
