month,prec,temp,precs,temps
jun,0.00864871872030949,0.0338293189686847,FALSE,FALSE
jul,-0.0289080051507456,-0.036453900301352,FALSE,FALSE
aug,-0.0232561677361137,-0.00129190488004643,FALSE,FALSE
sep,0.0342879945707235,-0.0956087070763379,FALSE,FALSE
oct,0.0267115663134823,-0.00436615775374506,FALSE,FALSE
nov,0.0565369968058121,0.0911850064107879,FALSE,FALSE
dec,0.0936184647422036,-0.213198601237555,FALSE,TRUE
JAN,-0.0118559099014222,0.0156440556099776,FALSE,FALSE
FEB,-0.088389978401845,0.058937652895132,FALSE,FALSE
MAR,0.106802899951795,-0.131804584407301,FALSE,FALSE
APR,0.177407179053549,-0.100155721688126,TRUE,FALSE
MAY,0.0990615184491861,-0.143018037522971,FALSE,FALSE
JUN,0.175032794061007,0.0130796306104975,FALSE,FALSE
JUL,-0.0822899710772228,0.0523543814269709,FALSE,FALSE
AUG,0.0977610082753643,0.0185261506139928,FALSE,FALSE
SEP,0.0534286133230912,0.03185610232321,FALSE,FALSE
