month,prec,temp,precs,temps
jun,0.0584189797754607,-0.0631782601879635,FALSE,FALSE
jul,0.137327264168565,-0.0311892908261374,FALSE,FALSE
aug,-0.0691021065361001,-0.042371024376318,FALSE,FALSE
sep,-0.0414209417322698,-0.040496404159113,FALSE,FALSE
oct,0.118820897186124,-0.031057657090191,FALSE,FALSE
nov,0.0558026148819544,-0.0475482829524128,FALSE,FALSE
dec,0.218001473427753,0.0406419590995766,TRUE,FALSE
JAN,0.15303697357506,0.174892219850646,FALSE,TRUE
FEB,0.0739350722432217,-0.057285343833791,FALSE,FALSE
MAR,0.102599647575499,-0.0335069836422786,FALSE,FALSE
APR,0.0536630920303649,-0.0907299493993547,FALSE,FALSE
MAY,-0.0542246493960926,-0.000553505290137746,FALSE,FALSE
JUN,0.184705194142125,-0.131298699039266,TRUE,FALSE
JUL,0.151903879987862,-0.0163106664119021,FALSE,FALSE
AUG,0.0344155863255543,0.00814197814369164,FALSE,FALSE
SEP,0.132519353582661,-0.0872462610093934,FALSE,FALSE
