month,prec,temp,precs,temps
jun,0.217506061590219,-0.027292472350491,TRUE,FALSE
jul,-0.0742048088013978,-0.195352415952927,FALSE,TRUE
aug,0.0479949641598725,-0.0709810165780727,FALSE,FALSE
sep,0.23463702354403,0.106945994135559,TRUE,FALSE
oct,-0.0640887546559998,0.0861363334864878,FALSE,FALSE
nov,0.174297813518934,-0.105763848484425,TRUE,FALSE
dec,0.09350858962863,-0.14637537961484,FALSE,FALSE
JAN,0.0844373150309901,0.0823059096232387,FALSE,FALSE
FEB,-0.0251024774384956,-0.0028062085615102,FALSE,FALSE
MAR,-0.14421268706836,0.119911053220342,FALSE,FALSE
APR,0.083210724976427,-0.0464341917445036,FALSE,FALSE
MAY,0.163773679142764,0.0618215737542802,FALSE,FALSE
JUN,0.0305852351127988,0.117025828697665,FALSE,FALSE
JUL,-0.0500280146688497,-0.0324440357532839,FALSE,FALSE
AUG,-0.142242604668534,0.0449001056527534,FALSE,FALSE
SEP,0.170609582185808,0.0304077752680963,FALSE,FALSE
