id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.116689815481327,FALSE,-0.0778949305367369,0.283311687083458
2,prec,jul,-0.000596810540022093,FALSE,-0.176828748559382,0.190435643313105
3,prec,aug,-0.0015096267783473,FALSE,-0.205186677177681,0.169748306447613
4,prec,sep,0.0745382440564084,FALSE,-0.133473603944055,0.286467267196041
5,prec,oct,-0.0517922333243601,FALSE,-0.214855895019044,0.148336263347682
6,prec,nov,-0.20175074384453,TRUE,-0.378916192988795,-0.0223701850078141
7,prec,dec,0.0863554224712446,FALSE,-0.0650278534821226,0.244257198471503
8,prec,JAN,0.165392355429293,FALSE,-0.0446694732395022,0.362723226162842
9,prec,FEB,0.0809615248438548,FALSE,-0.117096919427912,0.249345014350821
10,prec,MAR,-0.106511299847354,FALSE,-0.285196604029195,0.0894464720555944
11,prec,APR,-0.0950910302512047,FALSE,-0.268005950740572,0.0830020996311872
12,prec,MAY,-0.0285587968492261,FALSE,-0.234938145554124,0.135118517658488
13,prec,JUN,0.12600042328186,FALSE,-0.0506177663068956,0.291630504356217
14,prec,JUL,-0.0276019988874845,FALSE,-0.206776973167199,0.182268823909562
15,prec,AUG,-0.0365847973416654,FALSE,-0.214374911450678,0.156015427387351
16,prec,SEP,-0.0476602923848951,FALSE,-0.228271573161931,0.139874175937355
17,temp,jun,0.071945583130014,FALSE,-0.105731307078567,0.235910955568144
18,temp,jul,-0.100705175575315,FALSE,-0.291666439691648,0.0747576389546851
19,temp,aug,0.0273079382246626,FALSE,-0.138319258703065,0.212879565645715
20,temp,sep,-0.00149687713226806,FALSE,-0.206679429862572,0.202193242196105
21,temp,oct,-0.0256655720605716,FALSE,-0.213410942233276,0.174901786145849
22,temp,nov,0.131874497736221,FALSE,-0.0560071411961872,0.310717659711061
23,temp,dec,-0.0368586197766204,FALSE,-0.238349965879954,0.127038493219197
24,temp,JAN,-0.0778560799634564,FALSE,-0.230526403600668,0.0855397768054352
25,temp,FEB,-0.194071021772769,TRUE,-0.336302739982513,-0.0400230821578148
26,temp,MAR,-0.072636492115439,FALSE,-0.252100055047355,0.120126501456754
27,temp,APR,0.197080660610606,TRUE,0.01308349804946,0.367555855840408
28,temp,MAY,-0.0723309957328981,FALSE,-0.261259741706788,0.0856760974603895
29,temp,JUN,0.0710781189824553,FALSE,-0.131075486687317,0.244558578868399
30,temp,JUL,-0.0949579446792792,FALSE,-0.28524664589048,0.0811423767294729
31,temp,AUG,0.119745307911769,FALSE,-0.0807548727996276,0.324339560114125
32,temp,SEP,-0.026876561769018,FALSE,-0.211079266321736,0.151225862754704
