month,prec,temp,precs,temps
jun,0.0534454340173402,-0.101475454721352,FALSE,FALSE
jul,0.142381705942798,0.0133919411138347,FALSE,FALSE
aug,-0.0208929858199878,-0.00893163804425619,FALSE,FALSE
sep,0.0486061008036003,-0.0736624391716929,FALSE,FALSE
oct,0.0256889073767418,-0.0003036815072093,FALSE,FALSE
nov,0.0227029274480363,-0.00639813833974052,FALSE,FALSE
dec,-0.0679277717253292,0.0232535593073949,FALSE,FALSE
JAN,-0.161981698490216,-0.00561706786588752,FALSE,FALSE
FEB,-0.0633904959356884,0.0239516740328438,FALSE,FALSE
MAR,-0.047354023935781,0.0489888837246413,FALSE,FALSE
APR,-0.0190119494050839,-0.0671541251721352,FALSE,FALSE
MAY,0.144148147419028,-0.161834736623146,FALSE,FALSE
JUN,0.0804048303544009,0.0101992558117229,FALSE,FALSE
JUL,0.0965930886882457,-0.0142709905558512,FALSE,FALSE
AUG,-0.0233340407458012,0.0391907902236739,FALSE,FALSE
SEP,0.0575857265849474,-0.00174166943298591,FALSE,FALSE
