id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.0350668961734627,FALSE,-0.171653758770696,0.226856613076737
2,prec,jul,-0.0211296475018969,FALSE,-0.225896979432179,0.168055448482927
3,prec,aug,0.0177075056061588,FALSE,-0.158585187131656,0.186210309837689
4,prec,sep,-0.0137467197729057,FALSE,-0.183735870006897,0.154956004025909
5,prec,oct,-0.0312574945017198,FALSE,-0.198581477201809,0.144034461364909
6,prec,nov,0.128598208158248,FALSE,-0.0611536306804786,0.310706146299036
7,prec,dec,0.143377129902036,FALSE,-0.0351239147293858,0.326154129560923
8,prec,JAN,0.0335923452051558,FALSE,-0.147881574389024,0.238819117799214
9,prec,FEB,0.0968560193023428,FALSE,-0.115733615345216,0.273514804183836
10,prec,MAR,0.0731491929485008,FALSE,-0.124503370617963,0.247073000325767
11,prec,APR,-0.0264193039258788,FALSE,-0.200198627093721,0.145788510760648
12,prec,MAY,-0.111351299114707,FALSE,-0.272144352227587,0.0824368223931623
13,prec,JUN,0.0740925305225504,FALSE,-0.0970068608923309,0.247001752564362
14,prec,JUL,-0.0177460887699043,FALSE,-0.20729916897662,0.173707682474504
15,prec,AUG,-0.0221280366304489,FALSE,-0.22110280571357,0.171148850923823
16,prec,SEP,-0.121536897820263,FALSE,-0.267527786707211,0.0303282807211248
17,temp,jun,0.010592507186619,FALSE,-0.200334509172256,0.195844579360748
18,temp,jul,-0.155596959609471,FALSE,-0.322072497855373,0.0213677597800701
19,temp,aug,-0.0612734547811802,FALSE,-0.208611045150665,0.0940115810424548
20,temp,sep,-0.054844579752507,FALSE,-0.219311339108474,0.116436641235032
21,temp,oct,0.166157926060697,FALSE,-0.0326808317970436,0.329620108065549
22,temp,nov,0.11657702560365,FALSE,-0.0349571163028931,0.274421439312286
23,temp,dec,-0.0371217931546596,FALSE,-0.260811366898353,0.162179133110262
24,temp,JAN,0.051187506375228,FALSE,-0.115250837963576,0.242540601631277
25,temp,FEB,0.00780726498033625,FALSE,-0.168110768374901,0.179011333269657
26,temp,MAR,-0.227812236747718,TRUE,-0.378082387911291,-0.0883041374539818
27,temp,APR,-0.0220979144384207,FALSE,-0.186567540112999,0.141827759119331
28,temp,MAY,0.171020619228501,FALSE,-0.00358586962941887,0.360383247776689
29,temp,JUN,0.0999467772293423,FALSE,-0.0809798101210316,0.298028889357273
30,temp,JUL,0.138618860675273,FALSE,-0.0289602777519834,0.300275438242249
31,temp,AUG,0.146420227078421,FALSE,-0.0384745728829684,0.334422512474726
32,temp,SEP,-0.0401193035481875,FALSE,-0.242982203110707,0.154501197306987
