month,prec,temp,precs,temps
jun,0.0696849471036929,0.0867061439591082,FALSE,FALSE
jul,0.0136860534963724,-0.0225754339559177,FALSE,FALSE
aug,0.00285512117802643,0.0368378974475915,FALSE,FALSE
sep,0.0521383640211055,-0.0724823772749775,FALSE,FALSE
oct,-0.172953832413265,-0.181301093333556,FALSE,FALSE
nov,0.134531339082275,-0.134560801044465,FALSE,FALSE
dec,0.0679003647723503,0.0477461709217856,FALSE,FALSE
JAN,0.0709829734996115,0.0590834397002091,FALSE,FALSE
FEB,0.125575848867537,-0.0279723236325807,FALSE,FALSE
MAR,-0.0407279512075391,0.166332609010518,FALSE,TRUE
APR,0.00505624598105171,0.0658827917385163,FALSE,FALSE
MAY,-0.112477487533586,0.0432539901689245,FALSE,FALSE
JUN,-0.0380235078211639,-0.0603570917549799,FALSE,FALSE
JUL,0.0828815301185379,0.00967499269009116,FALSE,FALSE
AUG,-0.0465968455044526,0.0742890248349746,FALSE,FALSE
SEP,-0.000139415625014514,0.0769514791080244,FALSE,FALSE
