month,prec,temp,precs,temps
jun,0.0192747447396261,-0.00767591124321295,FALSE,FALSE
jul,0.0579050539104605,-0.00781490865490386,FALSE,FALSE
aug,0.112319886499456,0.0400507219374386,FALSE,FALSE
sep,0.0168461283189705,0.0524292193829421,FALSE,FALSE
oct,-0.102216026167779,0.0959390896979911,FALSE,FALSE
nov,-0.00778926211157025,-0.149472977804601,FALSE,TRUE
dec,0.110961868604809,0.0402241483101962,FALSE,FALSE
JAN,0.0247846119827397,-0.056154985017392,FALSE,FALSE
FEB,0.196574060912278,-0.0854583143569791,TRUE,FALSE
MAR,0.0769625560637068,-0.0427750884608865,FALSE,FALSE
APR,-0.0908934188537936,-0.101097974906891,FALSE,FALSE
MAY,0.108018330997379,-0.0346941400702434,FALSE,FALSE
JUN,0.187080414101909,-0.257531564630657,TRUE,TRUE
JUL,0.220355139059367,-0.123916752312413,TRUE,FALSE
AUG,-0.120506673962114,-0.00919322615005692,FALSE,FALSE
SEP,-0.194087758556338,-0.0302742675319246,TRUE,FALSE
