id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.0395211878559051,FALSE,-0.148891715598435,0.233458026863321
2,prec,jul,-0.0228702429765251,FALSE,-0.224712759329222,0.147304138425743
3,prec,aug,-0.0617657327662634,FALSE,-0.22358232839879,0.0942484256099125
4,prec,sep,0.133543551546621,FALSE,-0.0778497454270934,0.324173056664749
5,prec,oct,-0.0416351270389188,FALSE,-0.240334948226378,0.127048263433295
6,prec,nov,-0.0343858167437493,FALSE,-0.225370529768953,0.178873203614561
7,prec,dec,0.0571183194979296,FALSE,-0.115484369882114,0.255494170943929
8,prec,JAN,0.113638695733599,FALSE,-0.0980576455809223,0.308975130609014
9,prec,FEB,-0.101433875672576,FALSE,-0.287469471410168,0.105863797044437
10,prec,MAR,-0.0990498864884467,FALSE,-0.28841807353565,0.0685728558562146
11,prec,APR,0.163281467311364,FALSE,-0.0251773422425985,0.354381602263887
12,prec,MAY,-0.0441312364677003,FALSE,-0.213324075836681,0.116947127372104
13,prec,JUN,-0.0994650020638149,FALSE,-0.291243599185792,0.10384126772829
14,prec,JUL,-0.106817047406838,FALSE,-0.265445035848178,0.0997745535668785
15,prec,AUG,-0.0417909626321481,FALSE,-0.226875388974175,0.127756421348406
16,prec,SEP,0.0817743966649583,FALSE,-0.106808032984021,0.258841177702184
17,temp,jun,-0.0460686517112806,FALSE,-0.18865336319356,0.131381094850788
18,temp,jul,-0.167568008976529,FALSE,-0.353325981164061,0.00873571276240665
19,temp,aug,-0.0951121793167265,FALSE,-0.299175365505224,0.0775915802189133
20,temp,sep,0.0383582133750648,FALSE,-0.144214634579954,0.200704051984881
21,temp,oct,0.0895628343934494,FALSE,-0.0650731757278056,0.250401123285016
22,temp,nov,0.0841009608332082,FALSE,-0.125572737376476,0.288160148482087
23,temp,dec,-0.0134199632925395,FALSE,-0.17034051315025,0.162735723150855
24,temp,JAN,-0.0650118420082974,FALSE,-0.267684419501985,0.118549360826562
25,temp,FEB,-0.108298413624989,FALSE,-0.290817561845609,0.0623070358246006
26,temp,MAR,-0.03532867318954,FALSE,-0.222178825770235,0.147091505302827
27,temp,APR,0.0575651990472732,FALSE,-0.134637894591306,0.270431988648177
28,temp,MAY,0.132835211057279,FALSE,-0.0566630795197672,0.308441560247007
29,temp,JUN,0.131290965908663,FALSE,-0.0248270833457507,0.307236025899618
30,temp,JUL,0.350383180676586,TRUE,0.172222373834957,0.534523979501638
31,temp,AUG,0.0367662145631455,FALSE,-0.150810630042322,0.212043048972878
32,temp,SEP,-0.00525573762142702,FALSE,-0.21658372027601,0.179952067987029
