id,varname,month,coef,significant,ci_lower,ci_upper
1,prec,jun,0.084596753029526,FALSE,-0.106522956711372,0.242585431617272
2,prec,jul,-0.107307224667032,FALSE,-0.287919250279704,0.0406500354939009
3,prec,aug,-0.0372424303859313,FALSE,-0.191561704950946,0.0955462733745666
4,prec,sep,0.0951801345017716,FALSE,-0.0800465408403264,0.260404101035617
5,prec,oct,0.19361288113849,TRUE,0.0553360486341469,0.324614454291068
6,prec,nov,0.120067129345449,FALSE,-0.0305628707272888,0.239335706993046
7,prec,dec,0.00117802406993184,FALSE,-0.140928546042365,0.131575007457668
8,prec,JAN,0.0142495395330778,FALSE,-0.130927949645614,0.189277496034564
9,prec,FEB,-0.00125906663860444,FALSE,-0.152891802121409,0.161232915460455
10,prec,MAR,-0.108899384593005,FALSE,-0.250438183474874,0.0486796505216289
11,prec,APR,0.0585877144252144,FALSE,-0.119403353753185,0.265052859696643
12,prec,MAY,0.0616753074228343,FALSE,-0.100168380173739,0.223482117371904
13,prec,JUN,0.0892890749593747,FALSE,-0.078306229107454,0.245036331655262
14,prec,JUL,0.143754023579607,FALSE,-0.0104791571943594,0.294713320635579
15,prec,AUG,0.0191640284697749,FALSE,-0.120193772626861,0.164416909191456
16,prec,SEP,0.0286238286378329,FALSE,-0.134949607466426,0.184480209535662
17,temp,jun,-0.0569921754976411,FALSE,-0.211550750082833,0.10218076612552
18,temp,jul,-0.0548407236015723,FALSE,-0.214554240580456,0.0886753650500736
19,temp,aug,-0.0472532983304613,FALSE,-0.193320889704514,0.102279017618613
20,temp,sep,-0.113994253557428,FALSE,-0.286308505897438,0.04030441517306
21,temp,oct,-0.0288256107821612,FALSE,-0.16244718884766,0.12457919840175
22,temp,nov,-0.0724124377067131,FALSE,-0.215561149128923,0.0720990457040951
23,temp,dec,-0.0515223884899022,FALSE,-0.205596471634515,0.123734986453364
24,temp,JAN,-0.0555494992703796,FALSE,-0.179643043037534,0.0684831162969937
25,temp,FEB,0.135552572135042,FALSE,-0.0103335567792223,0.284193092222714
26,temp,MAR,-0.03789654016033,FALSE,-0.210168140014824,0.144521286708666
27,temp,APR,0.000669387696218384,FALSE,-0.179036422281691,0.150013954182197
28,temp,MAY,-0.136659120850889,FALSE,-0.299437409677643,0.0203352277226443
29,temp,JUN,-0.0524066065308578,FALSE,-0.229763269655964,0.123594048518041
30,temp,JUL,-0.141293527640245,FALSE,-0.299595779853452,0.0439202169980193
31,temp,AUG,-0.00644686236281863,FALSE,-0.14732469594561,0.147955115972373
32,temp,SEP,-0.0436101457150107,FALSE,-0.196528184182519,0.0945767940333134
