"code","studysite","species","species_scientific_name","species_common_name","investigator","lon","lat","url","all_investigators"
"CANA464","Hurley Road","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-123.59,50.59,"https://www.ncdc.noaa.gov/paleo/study/19603","Smith, D.J.; Coulthard, B.L."
"CANA465","Cream Lake","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.53,49.48,"https://www.ncdc.noaa.gov/paleo/study/19604","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA466","Douglas Peak","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-124.64,49.14,"https://www.ncdc.noaa.gov/paleo/study/19605","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA467","Franklin Glacier","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.43,51.27,"https://www.ncdc.noaa.gov/paleo/study/19606","Smith, D.J.; Coulthard, B.L."
"CANA468","Joffre Lakes","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-122.48,50.35,"https://www.ncdc.noaa.gov/paleo/study/19607","Smith, D.J.; Coulthard, B.L."
"CANA469","M. Gurr Lake","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-126.89,52.28,"https://www.ncdc.noaa.gov/paleo/study/19608","Smith, D.J.; Coulthard, B.L.; Pitman, K."
"CANA470","Mount Becher","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.2,49.65,"https://www.ncdc.noaa.gov/paleo/study/19609","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA471","Mount Cain","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-126.35,50.22,"https://www.ncdc.noaa.gov/paleo/study/19610","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA472","Mount Porter","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.23,49.31,"https://www.ncdc.noaa.gov/paleo/study/19611","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA473","TAD Ridge","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-124.29,48.69,"https://www.ncdc.noaa.gov/paleo/study/19612","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA474","Wapiti Ridge","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-124.43,48.99,"https://www.ncdc.noaa.gov/paleo/study/19613","Smith, D.J.; Coulthard, B.L.; Laroque, C."
"CANA476","Nusatsum Pass","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-126.34,52.22,"https://www.ncdc.noaa.gov/paleo/study/19615","Smith, D.J.; Coulthard, B.L.; Starheim, C."
"CANA477","Hump Lakes","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.89,52.43,"https://www.ncdc.noaa.gov/paleo/study/19616","Smith, D.J.; Coulthard, B.L.; Gedalof, Z."
"CANA478","Mount Hayes","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-130.32,54.34,"https://www.ncdc.noaa.gov/paleo/study/19617","Smith, D.J.; Coulthard, B.L.; Penrose, K."
"CANA479","Extew River","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-129.12,54.47,"https://www.ncdc.noaa.gov/paleo/study/19618","Smith, D.J.; Coulthard, B.L.; Penrose, K."
"CANA480","Cable Spur","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-127.56,54.85,"https://www.ncdc.noaa.gov/paleo/study/19619","Smith, D.J.; Coulthard, B.L.; Penrose, K."
"CANA481","Tzeetsaytsul Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-126.36,52.58,"https://www.ncdc.noaa.gov/paleo/study/19620","Smith, D.J.; Coulthard, B.L.; Gedalof, Z."
"CANA482","Bridge Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-123.48,50.78,"https://www.ncdc.noaa.gov/paleo/study/19621","Smith, D.J.; Coulthard, B.L.; Allen, S."
"CANA483","Byamee Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-125.19,51.63,"https://www.ncdc.noaa.gov/paleo/study/19622","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA485","Jacobsen Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-126.13,52.07,"https://www.ncdc.noaa.gov/paleo/study/19624","Smith, D.J.; Coulthard, B.L.; Starheim, C."
"CANA486","Liberty Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-124.83,51.59,"https://www.ncdc.noaa.gov/paleo/study/19625","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA487","Oval Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-125.24,51.48,"https://www.ncdc.noaa.gov/paleo/study/19626","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA488","Ragnarok Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-125.31,51.61,"https://www.ncdc.noaa.gov/paleo/study/19627","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA489","Berendon Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-130.04,56.26,"https://www.ncdc.noaa.gov/paleo/study/19628","Smith, D.J.; Coulthard, B.L."
"CANA490","Blue Jay Lake","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-126.9,52.28,"https://www.ncdc.noaa.gov/paleo/study/19629","Smith, D.J.; Coulthard, B.L.; Pitman, K."
"CANA491","Cathedral Glacier","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-124.87,51.24,"https://www.ncdc.noaa.gov/paleo/study/19630","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA492","Cathedral Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-124.87,51.24,"https://www.ncdc.noaa.gov/paleo/study/19631","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA493","Escape Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-125.12,51.61,"https://www.ncdc.noaa.gov/paleo/study/19632","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA494","Hope Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-124.89,51.52,"https://www.ncdc.noaa.gov/paleo/study/19633","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA495","Manatee Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-123.69,50.61,"https://www.ncdc.noaa.gov/paleo/study/19634","Smith, D.J.; Coulthard, B.L.; Koehler, L."
"CANA496","Mount Cheam","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-121.69,49.16,"https://www.ncdc.noaa.gov/paleo/study/19635","Smith, D.J.; Coulthard, B.L.; Lewis, D.; Laroque, C."
"CANA497","Mount Cheam","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-121.69,49.16,"https://www.ncdc.noaa.gov/paleo/study/19636","Smith, D.J.; Coulthard, B.L.; Lewis, D.; Laroque, C."
"CANA498","Oval Glacier","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Smith, D.J.",-125.24,51.48,"https://www.ncdc.noaa.gov/paleo/study/19638","Smith, D.J.; Coulthard, B.L.; Larocque, S.J."
"CANA499","Surprise Glacier","ABLA","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Smith, D.J.",-129.59,56.2,"https://www.ncdc.noaa.gov/paleo/study/19639","Smith, D.J.; Coulthard, B.L.; Jackson, S."
"CANA500","Oxbow Woods","QUMA","Quercus macrocarpa Michx.","burr oak","St. George, S.",-98.361,50.159,"https://www.ncdc.noaa.gov/paleo/study/19640","St. George, S.; Bater, C.; Carlson, E."
"NY047","Plumb Brook","TSCA","Tsuga canadensis (L.) Carr.","eastern hemlock","Jones, E.",-75.2167,44.6333,"https://www.ncdc.noaa.gov/paleo/study/19642","Jones, E.; Arujo, L.H.A.; Stewart, A.K."
"OK040","Cussetah Bottoms","QUSH","Quercus shumardii Buckl.","Shumard oak","Stevenson, D.",-95.9167,35.5333,"https://www.ncdc.noaa.gov/paleo/study/19643","Stevenson, D.; Hallgren, S.; Anderson, K.; Anderson, C."
"OK041","Missouri Oklahoma and Gulf Railroad","QUPA","Quercus palustris Muenchh.","pin oak","Stevenson, D.",-95.9167,35.5333,"https://www.ncdc.noaa.gov/paleo/study/19644","Stevenson, D.; Hallgren, S.; Anderson, K.; Anderson, C."
"OK042","Water Plant","QUPA","Quercus palustris Muenchh.","pin oak","Stevenson, D.",-96,35.5,"https://www.ncdc.noaa.gov/paleo/study/19645","Stevenson, D.; Hallgren, S.; Anderson, K.; Anderson, C."
"RUSS245","Khuzir Settlement","LASI","Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.","Siberian larch","Buyantuyev, V.",99.7528,52.8189,"https://www.ncdc.noaa.gov/paleo/study/19646","Buyantuyev, V.; Voronin, V.; Oskolkov, V.; Moritz, R."
"AK150","Wright Mountain Alaska","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Wiles, G.",-135.98,58.74,"https://www.ncdc.noaa.gov/paleo/study/19843","Wiles, G.; Jarvis, S.K.; D'Arrigo, R.D."
"CANA501","Axel Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.5167,68.6833,"https://www.ncdc.noaa.gov/paleo/study/19844","Porter, T.J.; Pisaric, M."
"CANA502","Aklavik Channel 1 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.7333,68.25,"https://www.ncdc.noaa.gov/paleo/study/19845","Porter, T.J.; Pisaric, M."
"CANA503","Aklavik Channel 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.7833,68.2833,"https://www.ncdc.noaa.gov/paleo/study/19846","Porter, T.J.; Pisaric, M."
"CANA504","Amacokvik Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.3833,68.6167,"https://www.ncdc.noaa.gov/paleo/study/19849","Porter, T.J.; Pisaric, M."
"CANA505","Campbell Dolomite Uplands 1 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-133.4,68.2667,"https://www.ncdc.noaa.gov/paleo/study/19850","Porter, T.J.; Pisaric, M."
"CANA506","Campbell Dolomite Uplands 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-133.7667,68.15,"https://www.ncdc.noaa.gov/paleo/study/19851","Porter, T.J.; Pisaric, M."
"CANA507","Esau Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.7667,68.1333,"https://www.ncdc.noaa.gov/paleo/study/19852","Porter, T.J.; Pisaric, M."
"CANA508","Jamieson Channel 1 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.9667,68.3667,"https://www.ncdc.noaa.gov/paleo/study/19853","Porter, T.J.; Pisaric, M."
"CANA509","Jamieson Channel 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-135.0667,68.5167,"https://www.ncdc.noaa.gov/paleo/study/19854","Porter, T.J.; Pisaric, M."
"CANA510","Kalinek Channel 1 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.1667,68.1167,"https://www.ncdc.noaa.gov/paleo/study/19855","Porter, T.J.; Pisaric, M."
"CANA511","Kalinek Channel 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.15,68.2667,"https://www.ncdc.noaa.gov/paleo/study/19856","Porter, T.J.; Pisaric, M."
"CANA512","Napoiak Channel 1 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.5833,68.4333,"https://www.ncdc.noaa.gov/paleo/study/19857","Porter, T.J.; Pisaric, M."
"CANA513","Napoiak Channel 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.2667,68.4,"https://www.ncdc.noaa.gov/paleo/study/19858","Porter, T.J.; Pisaric, M."
"CANA514","Noell Lake Mackenzie Delta Region","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-133.6833,68.5833,"https://www.ncdc.noaa.gov/paleo/study/19859","Porter, T.J.; Pisaric, M."
"CANA515","Pederson Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.6333,68.5333,"https://www.ncdc.noaa.gov/paleo/study/19860","Porter, T.J.; Pisaric, M."
"CANA516","Peel Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-135.15,68.15,"https://www.ncdc.noaa.gov/paleo/study/19861","Porter, T.J.; Pisaric, M."
"CANA517","Schooner Channel Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-134.6667,68.3667,"https://www.ncdc.noaa.gov/paleo/study/19862","Porter, T.J.; Pisaric, M."
"CANA519","West Channel 2 Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-135.2,68.3167,"https://www.ncdc.noaa.gov/paleo/study/19864","Porter, T.J.; Pisaric, M."
"CANA520","Blueberry Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-133.85,68.45,"https://www.ncdc.noaa.gov/paleo/study/19865","Pisaric, M.; Porter, T.J."
"CANA522","Fallen Tree Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-133.8667,68.5167,"https://www.ncdc.noaa.gov/paleo/study/19867","Pisaric, M.; Porter, T.J."
"CANA523","Hidden Lake Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-134.1,68.5833,"https://www.ncdc.noaa.gov/paleo/study/19868","Pisaric, M.; Porter, T.J."
"CANA524","Maggie Lake Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-133.85,68.4667,"https://www.ncdc.noaa.gov/paleo/study/19869","Pisaric, M.; Porter, T.J."
"CANA525","MP site Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-133.8667,68.4667,"https://www.ncdc.noaa.gov/paleo/study/19870","Pisaric, M.; Porter, T.J."
"CANA527","Timber Site Mackenzie Delta","PCGL","Picea glauca (Moench) Voss","white spruce","Pisaric, M.",-133.8,68.4,"https://www.ncdc.noaa.gov/paleo/study/19872","Pisaric, M.; Porter, T.J."
"ITAL041","Val di Fumo","LADE","Larix decidua Mill.","European larch","Coppola, A.",10.5683,46.0894,"https://www.ncdc.noaa.gov/paleo/study/19876","Coppola, A.; Baroni, C."
"ITAL042","Val Presanella","LADE","Larix decidua Mill.","European larch","Coppola, A.",10.6608,46.2586,"https://www.ncdc.noaa.gov/paleo/study/19877","Coppola, A.; Baroni, C."
"ITAL043","Val Presena","LADE","Larix decidua Mill.","European larch","Coppola, A.",10.6028,46.2389,"https://www.ncdc.noaa.gov/paleo/study/19878","Coppola, A.; Baroni, C."
"OK043","Bokhoma Log Pond","PIEC","Pinus echinata Mill.","shortleaf pine","Stevenson, D.",-94.59,33.83,"https://www.ncdc.noaa.gov/paleo/study/19962","Stevenson, D.; Lynch, T.B.; Wilson, D.; Anderson, C."
"UT542","Card Canyon","JUOS","Juniperus osteosperma (Torr.) Little","Utah juniper","DeRose, R.J.",-111.663,41.759,"https://www.ncdc.noaa.gov/paleo/study/19964","DeRose, R.J.; Britton, J.; Allen, E.B."
"ITAL045","Abruzzo","QUCE","Quercus cerris L.","Turkey oak","Manzanedo, R.D.",14.35,41.8833,"https://www.ncdc.noaa.gov/paleo/study/19966","Manzanedo, R.D.; Schenk, F."
"WY052","Fish Creek North","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Brown, P.",-110.2094,43.5727,"https://www.ncdc.noaa.gov/paleo/study/19967","Brown, P.; Wise, E.K."
"WY053","Gros Ventre Road","PIFL","Pinus flexilis E. James","limber pine","Brown, P.",-110.5027,43.6392,"https://www.ncdc.noaa.gov/paleo/study/19968","Brown, P.; Wise, E.K."
"WY054","Hoback Ridge","PIFL","Pinus flexilis E. James","limber pine","Brown, P.",-110.6711,43.3042,"https://www.ncdc.noaa.gov/paleo/study/19969","Brown, P.; Wise, E.K."
"WY055","Hoback Ridge","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Brown, P.",-110.6711,43.3042,"https://www.ncdc.noaa.gov/paleo/study/19970","Brown, P.; Wise, E.K."
"WY056","Munger Mountain","PIFL","Pinus flexilis E. James","limber pine","Brown, P.",-110.7991,43.3319,"https://www.ncdc.noaa.gov/paleo/study/19971","Brown, P.; Wise, E.K."
"MONG040","Ondor Zuun Nuruu","LASI","Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.","Siberian larch","Jacoby, G.C.",99.083,51.15,"https://www.ncdc.noaa.gov/paleo/study/20651","Jacoby, G.C.; Davi, N.K.; Nachin, B.; D'Arrigo, R.D.; Curtis, A.E."
"CANA528","Tamarack Bowl","LALY","Larix lyallii Parl.","subalpine larch","Sauchyn, D.J.",-114.43,49.31,"https://www.ncdc.noaa.gov/paleo/study/20653","Sauchyn, D.J."
"CANA529","Vicary Mine","PIAL","Pinus albicaulis Engelm.","whitebark pine","Sauchyn, D.J.",-114.53,49.77,"https://www.ncdc.noaa.gov/paleo/study/20654","Sauchyn, D.J."
"AR083","Mount Ida","PIEC","Pinus echinata Mill.","shortleaf pine","Stevenson, D.",-93.6333,34.55,"https://www.ncdc.noaa.gov/paleo/study/20690","Stevenson, D.; Tauer, C.; Lynch, T.B.; Caterina, G."
"AUSL040","Mount Field  (Beyond Burn Lake Newdegate)","ATCU","Athrotaxis cupressoides D. Don","pencil pine","Allen, K.J.",146.57,-42.65,"https://www.ncdc.noaa.gov/paleo/study/20693","Allen, K.J.; Lamarche, V.C."
"AUSL041","Cradle Mountain","ATSE","Athrotaxis selaginoides D. Don","King Billy pine","Allen, K.J.",145.93,-41.63,"https://www.ncdc.noaa.gov/paleo/study/20694","Allen, K.J.; Lamarche, V.C."
"CANA531","Porcupine River Downstream site DP23","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.9667,67.5,"https://www.ncdc.noaa.gov/paleo/study/20711","Porter, T.J.; Pisaric, M."
"CANA532","Porcupine River Downstream site DP24","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.9667,67.5167,"https://www.ncdc.noaa.gov/paleo/study/20712","Porter, T.J.; Pisaric, M."
"CANA533","Porcupine River Downstream site DP25","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.9833,67.5167,"https://www.ncdc.noaa.gov/paleo/study/20713","Porter, T.J.; Pisaric, M."
"CANA534","Porcupine River Downstream site DP26","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140,67.5167,"https://www.ncdc.noaa.gov/paleo/study/20714","Porter, T.J.; Pisaric, M."
"CANA535","Porcupine River Downstream site DP27","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140.05,67.5,"https://www.ncdc.noaa.gov/paleo/study/20715","Porter, T.J.; Pisaric, M."
"CANA536","Porcupine River Downstream site DP30","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140.3167,67.4833,"https://www.ncdc.noaa.gov/paleo/study/20716","Porter, T.J.; Pisaric, M."
"CANA537","Porcupine River Downstream site DP31","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140.4333,67.8,"https://www.ncdc.noaa.gov/paleo/study/20717","Porter, T.J.; Pisaric, M."
"CANA538","Johnson Creek site JC1","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.1333,67.95,"https://www.ncdc.noaa.gov/paleo/study/20718","Porter, T.J.; Pisaric, M."
"CANA539","Old Crow River site OC2","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.75,67.5833,"https://www.ncdc.noaa.gov/paleo/study/20719","Porter, T.J.; Pisaric, M."
"CANA540","Old Crow River site OC9","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.8167,67.7,"https://www.ncdc.noaa.gov/paleo/study/20730","Porter, T.J.; Pisaric, M."
"CANA541","Old Crow River site OC10","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.8167,67.7167,"https://www.ncdc.noaa.gov/paleo/study/20731","Porter, T.J.; Pisaric, M."
"CANA542","Old Crow River site OC50","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.9333,68.1333,"https://www.ncdc.noaa.gov/paleo/study/20732","Porter, T.J.; Pisaric, M."
"CANA547","Porcupine River Upstream site PC17","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.4167,67.55,"https://www.ncdc.noaa.gov/paleo/study/20739","Porter, T.J.; Pisaric, M."
"CANA548","Porcupine River Upstream site PC18","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.3167,67.5333,"https://www.ncdc.noaa.gov/paleo/study/20740","Porter, T.J.; Pisaric, M."
"CANA549","Schaeffer Creek headwaters SC1","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140.5167,67.75,"https://www.ncdc.noaa.gov/paleo/study/20741","Porter, T.J.; Pisaric, M."
"CANA550","Thomas Creek TH1","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-140.75,68.3333,"https://www.ncdc.noaa.gov/paleo/study/20742","Porter, T.J.; Pisaric, M."
"CANA551","Timber Creek TM1","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.7167,68.3333,"https://www.ncdc.noaa.gov/paleo/study/20743","Porter, T.J.; Pisaric, M."
"CANA552","Timber Creek TM2","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.7833,68.1667,"https://www.ncdc.noaa.gov/paleo/study/20745","Porter, T.J.; Pisaric, M."
"CANA553","Porcupine River Downstream site DP21","PCGL","Picea glauca (Moench) Voss","white spruce","Porter, T.J.",-139.9333,67.5333,"https://www.ncdc.noaa.gov/paleo/study/20746","Porter, T.J.; Pisaric, M."
"CHIN074","Qamdo 2","JUTI","Juniperus tibetica Kom.","Tibetan juniper","Wang, J.L.",97,31,"https://www.ncdc.noaa.gov/paleo/study/20747","Wang, J.L.; Yang, B.; Qin, C.; Kang, S.; He, M.H.; Wang, Z."
"GERM223","Kranichfeld","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Carl, C.",11.2105,50.8776,"https://www.ncdc.noaa.gov/paleo/study/20748","Carl, C."
"NEWZ116","Towai Farms","AGAU","Agathis australis (D. Don) Loudon","kauri pine","Palmer, J.G.",174.1729,-35.417,"https://www.ncdc.noaa.gov/paleo/study/20750","Palmer, J.G.; Fenwick, P.; Turney, C.S.M."
"PSE001","Church of the Nativity","LADE","Larix decidua Mill.","European larch","Bernabei, M.",35.2076,31.7043,"https://www.ncdc.noaa.gov/paleo/study/20772","Bernabei, M.; Bontadi, J."
"PSE002","Church of the Nativity","QUSP","Quercus spp. L.","oak","Bernabei, M.",35.2076,31.7043,"https://www.ncdc.noaa.gov/paleo/study/20773","Bernabei, M.; Bontadi, J."
"TURK047","Kultepe","JUSP","Juniperus spp. L.","juniper","Kuniholm, P.I.",35.7667,39.0167,"https://www.ncdc.noaa.gov/paleo/study/20794","Kuniholm, P.I.; Newton, M.; Griggs, C.; Lorentzen, B.; Manning, S.W."
"VA037","Stadium Woods","QUAL","Quercus alba L.","white oak","Copenheaver, C.A.",-80.219421,37.222886,"https://www.ncdc.noaa.gov/paleo/study/20795","Copenheaver, C.A."
"MEXI048","Salto de los Salado","TAMU","Taxodium mucronatum Ten.","Montezuma cypress","Villanueva, J.",-102.367,21.752,"https://www.ncdc.noaa.gov/paleo/study/20810","Villanueva, J."
"MEXI049","Arnulfa","PCCH","Picea chihuahuana Martinez","chihuahua spruce","Villanueva, J.",-106.366,26.469,"https://www.ncdc.noaa.gov/paleo/study/20812","Villanueva, J."
"MEXI050","Cascada","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-107.817,28.018,"https://www.ncdc.noaa.gov/paleo/study/20830","Villanueva, J."
"MEXI051","Cebadillas de Ocampo","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-107.95,28.122,"https://www.ncdc.noaa.gov/paleo/study/20831","Villanueva, J."
"MEXI052","Lago Arareco","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-108.211,29.322,"https://www.ncdc.noaa.gov/paleo/study/20832","Villanueva, J."
"MEXI053","La Joya de Arnulfa","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-107.86,28.085,"https://www.ncdc.noaa.gov/paleo/study/20834","Villanueva, J."
"MEXI054","Madera","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-108.192,29.308,"https://www.ncdc.noaa.gov/paleo/study/20835","Villanueva, J."
"MEXI055","Mesa de las Guacamayas","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-108.619,30.543,"https://www.ncdc.noaa.gov/paleo/study/20839","Villanueva, J."
"MEXI056","Cerro Mohinara","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-107.013,25.934,"https://www.ncdc.noaa.gov/paleo/study/20840","Villanueva, J."
"MEXI057","Tutuaca","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-108.264,28.622,"https://www.ncdc.noaa.gov/paleo/study/20850","Villanueva, J."
"MEXI058","Coahuilon","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-103.919,25.234,"https://www.ncdc.noaa.gov/paleo/study/20851","Villanueva, J."
"MEXI059","Cuauhtemoc","PICM","Pinus cembroides Zucc.","Mexican pinyon","Villanueva, J.",-100.925,25.284,"https://www.ncdc.noaa.gov/paleo/study/20852","Villanueva, J."
"MEXI060","Diamante","PICM","Pinus cembroides Zucc.","Mexican pinyon","Villanueva, J.",-100.876,25.352,"https://www.ncdc.noaa.gov/paleo/study/20853","Villanueva, J."
"MEXI061","Huachichil","PICM","Pinus cembroides Zucc.","Mexican pinyon","Villanueva, J.",-100.825,25.208,"https://www.ncdc.noaa.gov/paleo/study/20854","Villanueva, J."
"MEXI062","Motillas","PIGR","Pinus greggii Engelm. ex Parl.","Gregg's pine","Villanueva, J.",-100.886,25.342,"https://www.ncdc.noaa.gov/paleo/study/20855","Villanueva, J."
"MEXI063","Los Pilares","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Villanueva, J.",-100.492,25.275,"https://www.ncdc.noaa.gov/paleo/study/20856","Villanueva, J."
