"code","studysite","species","species_scientific_name","species_common_name","investigator","lon","lat","url","all_investigators"
"NV512","Pearl Peak","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-115.53,40.23,"https://www.ncdc.noaa.gov/paleo/study/1000046","Graybill, D.A."
"NV513","Mount Washington Nevada","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-114.32,38.9,"https://www.ncdc.noaa.gov/paleo/study/1000047","Graybill, D.A."
"NV514","Spruce Mountain","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-114.82,40.55,"https://www.ncdc.noaa.gov/paleo/study/1000048","Graybill, D.A."
"NV515","Indian Garden","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-115.43,39.08,"https://www.ncdc.noaa.gov/paleo/study/1000049","Graybill, D.A."
"NV516","Hill 10842 Recollection","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-114.23,38.93,"https://www.ncdc.noaa.gov/paleo/study/1000050","Graybill, D.A."
"NV517","Spring Mountains Lower","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-115.7,36.32,"https://www.ncdc.noaa.gov/paleo/study/1000051","Graybill, D.A."
"NV518","Jackson Mountains Oct98 Re-collection","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-118.43,41.3,"https://www.ncdc.noaa.gov/paleo/study/1000052","Meko, D.M.; Baisan, C.H.; Funkhouser, G."
"NV519","Lucky Horseshoe","PIFL","Pinus flexilis E. James","limber pine","King, J.C.",-118.33,37.87,"https://www.ncdc.noaa.gov/paleo/study/1000053","King, J.C."
"OR009","Calamity Creek","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-118.8,43.98,"https://www.ncdc.noaa.gov/paleo/study/1000089","Holmes, R.L.; Adams, R.K.; Rose, M.R.; Wu, X.D."
"OR012","Horse Ridge","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-121.07,43.97,"https://www.ncdc.noaa.gov/paleo/study/1000090","Holmes, R.L.; Adams, R.K.; Rose, M.R.; Wu, X.D."
"OR015","Frederick Butte","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-120.45,43.58,"https://www.ncdc.noaa.gov/paleo/study/1000091","Holmes, R.L.; Adams, R.K.; Rose, M.R.; Wu, X.D."
"OR018","Little Juniper Mountain","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-119.87,43.13,"https://www.ncdc.noaa.gov/paleo/study/1000092","Holmes, R.L.; Adams, R.K.; Rose, M.R.; Wu, X.D."
"OR049","Experimental Forest","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Speer, J.H.",-121.6,43.72,"https://www.ncdc.noaa.gov/paleo/study/1000093","Speer, J.H.; Swetnam, T.W."
"OR060","Frederick Butte Recollection","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120.45,43.58,"https://www.ncdc.noaa.gov/paleo/study/1000094","Meko, D.M.; Baisan, C.H.; Adams, R.K.; Holmes, R.L.; Rose, M.R.; Wu, X.D."
"OR061","Horse Ridge Recollection","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-121.07,43.97,"https://www.ncdc.noaa.gov/paleo/study/1000095","Meko, D.M.; Baisan, C.H.; Holmes, R.L.; Adams, R.K.; Rose, M.R.; Wu, X.D."
"OR062","Table Rock - Arrow Gap","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120.9,43.18,"https://www.ncdc.noaa.gov/paleo/study/1000096","Meko, D.M.; Baisan, C.H.; Touchan, R.; Grow, D.; Funkhouser, G."
"OR063","Steens Mountain Recollection","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-118.92,42.67,"https://www.ncdc.noaa.gov/paleo/study/1000097","Meko, D.M.; Baisan, C.H.; Funkhouser, G.; Dai, K."
"SC006","Black River South Carolina","TADI","Taxodium distichum (L.) Rich.","baldcypress","Stahle, D.W.",-79.87,33.8,"https://www.ncdc.noaa.gov/paleo/study/1000098","Stahle, D.W.; Griffin, R.D.; Jennings, J.; Sierzchula, S."
"SD017","Reno Gulch","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Meko, D.M.",-103.6,43.9,"https://www.ncdc.noaa.gov/paleo/study/1000099","Meko, D.M.; Sieg, C.H."
"UT508","Wild Horse Ridge","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-111.07,39.42,"https://www.ncdc.noaa.gov/paleo/study/1000100","Graybill, D.A."
"UT509","Mammoth Creek","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-112.67,37.65,"https://www.ncdc.noaa.gov/paleo/study/1000101","Graybill, D.A."
"WA047","Elliot Creek","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Graumlich, L.J.",-121.4,48.05,"https://www.ncdc.noaa.gov/paleo/study/1000113","Graumlich, L.J."
"WA056","Granite Mountain","TSME","Tsuga mertensiana (Bong.) Carrière","mountain hemlock","Graumlich, L.J.",-121.47,47.42,"https://www.ncdc.noaa.gov/paleo/study/1000114","Graumlich, L.J."
"WA061","Scatter Lake","LALY","Larix lyallii Parl.","subalpine larch","Graumlich, L.J.",-120.5,48.47,"https://www.ncdc.noaa.gov/paleo/study/1000115","Graumlich, L.J."
"WA086","Big Quilcene River Trail","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Earle, C.J.",-123.03,47.83,"https://www.ncdc.noaa.gov/paleo/study/1000116","Earle, C.J.; Brubaker, L.B.; Segura, G."
"WA088","Olympic Road 3116","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Earle, C.J.",-124,48,"https://www.ncdc.noaa.gov/paleo/study/1000117","Earle, C.J.; Brubaker, L.B.; Segura, G."
"WA090","San Juan Hill","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Earle, C.J.",-121.33,47.88,"https://www.ncdc.noaa.gov/paleo/study/1000118","Earle, C.J.; Brubaker, L.B.; Segura, G."
"WY023","Sylvan Pass bei Cody","PCEN","Picea engelmannii Parry ex Engelm.","Engelmann spruce","Briffa, K.R.",-110.13,44.37,"https://www.ncdc.noaa.gov/paleo/study/1000119","Briffa, K.R.; Schweingruber, F.H."
"WY027","Mount Everts","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Graumlich, L.J.",-110.67,44.98,"https://www.ncdc.noaa.gov/paleo/study/1000120","Graumlich, L.J.; Waggoner, L.; King, J.C.; Ferguson, E.B."
"CO511","Island Lake","PIFL","Pinus flexilis E. James","limber pine","Woodhouse, C.A.",-105.58,40.03,"https://www.ncdc.noaa.gov/paleo/study/1000163","Woodhouse, C.A."
"CO522","Mount Goliath","PIAR","Pinus aristata Engelm.","Rocky Mountain bristlecone pine","Graybill, D.A.",-105.58,39.63,"https://www.ncdc.noaa.gov/paleo/study/1000164","Graybill, D.A."
"CO523","Windy Ridge","PIAR","Pinus aristata Engelm.","Rocky Mountain bristlecone pine","Graybill, D.A.",-106.08,39.32,"https://www.ncdc.noaa.gov/paleo/study/1000165","Graybill, D.A."
"CO524","Almagre Mountain B","PIAR","Pinus aristata Engelm.","Rocky Mountain bristlecone pine","Graybill, D.A.",-104.98,38.77,"https://www.ncdc.noaa.gov/paleo/study/1000166","Graybill, D.A."
"CO525","Hermit Lake","PIAR","Pinus aristata Engelm.","Rocky Mountain bristlecone pine","Graybill, D.A.",-105.63,38.1,"https://www.ncdc.noaa.gov/paleo/study/1000167","Graybill, D.A."
"CO535","Frosty Park","PIFL","Pinus flexilis E. James","limber pine","Graybill, D.A.",-104.97,38.77,"https://www.ncdc.noaa.gov/paleo/study/1000168","Graybill, D.A."
"CO545","Niwot Ridge B","PIFL","Pinus flexilis E. James","limber pine","Graybill, D.A.",-105.55,40.05,"https://www.ncdc.noaa.gov/paleo/study/1000169","Graybill, D.A."
"CO547","Rainbow Curve","PIFL","Pinus flexilis E. James","limber pine","Graybill, D.A.",-105.67,40.4,"https://www.ncdc.noaa.gov/paleo/study/1000170","Graybill, D.A."
"CO555","Great Sand Dunes Lower","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Grissino-Mayer, H.D.",-105.5,37.78,"https://www.ncdc.noaa.gov/paleo/study/1000171","Grissino-Mayer, H.D."
"CO556","Great Sand Dunes High","PIFL","Pinus flexilis E. James","limber pine","Grissino-Mayer, H.D.",-105.47,37.72,"https://www.ncdc.noaa.gov/paleo/study/1000172","Grissino-Mayer, H.D."
"CO562","Blanca Peak","PIAR","Pinus aristata Engelm.","Rocky Mountain bristlecone pine","Douglas, D.L.",-105.42,37.55,"https://www.ncdc.noaa.gov/paleo/study/1000173","Douglas, D.L."
"CO572","Lily Lake","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Woodhouse, C.A.",-105.55,40.32,"https://www.ncdc.noaa.gov/paleo/study/1000174","Woodhouse, C.A.; Brown, P.M."
"CO579","Pumphouse","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-106.52,39.95,"https://www.ncdc.noaa.gov/paleo/study/1000175","Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J."
"CO580","Land's End","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Woodhouse, C.A.",-108.15,39,"https://www.ncdc.noaa.gov/paleo/study/1000176","Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J."
"CO586","Fool Creek","PCEN","Picea engelmannii Parry ex Engelm.","Engelmann spruce","Brown, P.M.",-105.87,39.87,"https://www.ncdc.noaa.gov/paleo/study/1000177","Brown, P.M.; Woodhouse, C.A.; Hughes, M.K."
"CO595","Collins Gulch","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-108.2,39.83,"https://www.ncdc.noaa.gov/paleo/study/1000178","Woodhouse, C.A.; Losleben, M.V."
"CO617","Princeton","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Woodhouse, C.A.",-106.23,38.8,"https://www.ncdc.noaa.gov/paleo/study/1000179","Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J."
"CO619","Peak to Peak","PSME","Pseudotsuga menziesii (Mirb.) Franco","Douglas-fir","Woodhouse, C.A.",-105.52,40.02,"https://www.ncdc.noaa.gov/paleo/study/1000180","Woodhouse, C.A.; Brown, P.M.; Lukas, J.J."
"CO631","Wild Rose","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-108.23,39.02,"https://www.ncdc.noaa.gov/paleo/study/1000181","Woodhouse, C.A.; Lukas, J.J.; Losleben, M.V."
"FL001","Choctawhatchee River","TADI","Taxodium distichum (L.) Rich.","baldcypress","Stahle, D.W.",-85.92,30.45,"https://www.ncdc.noaa.gov/paleo/study/1000187","Stahle, D.W.; Cleaveland, M.K."
"CA065","Dalton Reservoir","PIPO","Pinus ponderosa Douglas ex C. Lawson","ponderosa pine","Holmes, R.L.",-120.7,41.62,"https://www.ncdc.noaa.gov/paleo/study/1000317","Holmes, R.L.; Adams, R.K."
"CA073","Hager Basin Reservoir","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-120.75,41.77,"https://www.ncdc.noaa.gov/paleo/study/1000318","Holmes, R.L.; Adams, R.K."
"CA084","Blue Banks","PIJE","Pinus jeffreyi Balf.","Jeffrey pine","Holmes, R.L.",-122.97,39.67,"https://www.ncdc.noaa.gov/paleo/study/1000319","Holmes, R.L.; Adams, R.K.; Lloyd, K.; White, L.O."
"CA087","Kaiser Pass","JUOC","Juniperus occidentalis Hook.","western juniper","Holmes, R.L.",-119.08,37.28,"https://www.ncdc.noaa.gov/paleo/study/1000320","Holmes, R.L.; Adams, R.K.; Rose, M.R.; Buer, S."
"CA523","Mt. Eddy","PIJE","Pinus jeffreyi Balf.","Jeffrey pine","Graumlich, L.J.",-122.52,41.33,"https://www.ncdc.noaa.gov/paleo/study/1000321","Graumlich, L.J."
"CA528","Flower Lake","PIBA","Pinus balfouriana Balf.","foxtail pine","Graybill, D.A.",-118.37,36.77,"https://www.ncdc.noaa.gov/paleo/study/1000322","Graybill, D.A."
"CA529","Timber Gap Upper","PIBA","Pinus balfouriana Balf.","foxtail pine","Graybill, D.A.",-118.6,36.45,"https://www.ncdc.noaa.gov/paleo/study/1000323","Graybill, D.A."
"CA530","Cirque Peak","PIBA","Pinus balfouriana Balf.","foxtail pine","Graybill, D.A.",-118.22,36.45,"https://www.ncdc.noaa.gov/paleo/study/1000324","Graybill, D.A."
"CA531","Onion Valley","PIBA","Pinus balfouriana Balf.","foxtail pine","Graybill, D.A.",-118.35,36.77,"https://www.ncdc.noaa.gov/paleo/study/1000325","Graybill, D.A."
"CA532","Timber Gap Lower","PIBA","Pinus balfouriana Balf.","foxtail pine","Graybill, D.A.",-118.62,36.45,"https://www.ncdc.noaa.gov/paleo/study/1000326","Graybill, D.A."
"CA533","Campito Mountain","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-118.22,37.5,"https://www.ncdc.noaa.gov/paleo/study/1000327","Graybill, D.A.; Lamarche, V.C."
"CA534","Sheep Mountain California","PILO","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva","Intermountain bristlecone pine","Graybill, D.A.",-118.22,37.37,"https://www.ncdc.noaa.gov/paleo/study/1000328","Graybill, D.A."
"CA555","Yolla Bolly","PIBA","Pinus balfouriana Balf.","foxtail pine","Buckley, B.M.",-122.87,40.03,"https://www.ncdc.noaa.gov/paleo/study/1000329","Buckley, B.M."
"CA605","Mammoth Peak Yosemite National Park","PIAL","Pinus albicaulis Engelm.","whitebark pine","King, J.C.",-119.28,37.87,"https://www.ncdc.noaa.gov/paleo/study/1000330","King, J.C."
"CA606","Spillway Lake Yosemite National Park","PIAL","Pinus albicaulis Engelm.","whitebark pine","King, J.C.",-119.22,37.83,"https://www.ncdc.noaa.gov/paleo/study/1000331","King, J.C."
"CA629","Boles Creek","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120.9,41.45,"https://www.ncdc.noaa.gov/paleo/study/1000332","Meko, D.M.; Baisan, C.H.; Funkhouser, G.; Miller, R.; Touchan, R."
"CA630","Carson Pass East and Caples Lake","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120,38.7,"https://www.ncdc.noaa.gov/paleo/study/1000333","Meko, D.M.; Baisan, C.H.; Touchan, R.; Grow, D.; Funkhouser, G."
"CA631","Jackson Meadow Reservoir","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120.55,39.52,"https://www.ncdc.noaa.gov/paleo/study/1000334","Meko, D.M.; Baisan, C.H.; Touchan, R.; Grow, D.; Funkhouser, G."
"CA632","Sardine Point","JUOC","Juniperus occidentalis Hook.","western juniper","Meko, D.M.",-120.2,39.55,"https://www.ncdc.noaa.gov/paleo/study/1000335","Meko, D.M.; Baisan, C.H.; Grow, D.; Touchan, R.; Funkhouser, G."
"CA633","Glass Mountain","PIFL","Pinus flexilis E. James","limber pine","King, J.C.",-118.68,37.75,"https://www.ncdc.noaa.gov/paleo/study/1000336","King, J.C."
"CA636","Boreal Plateau","PIBA","Pinus balfouriana Balf.","foxtail pine","Graumlich, L.J.",-118.55,36.45,"https://www.ncdc.noaa.gov/paleo/study/1000337","Graumlich, L.J.; Lloyd, A.H.; Bunn, A.; King, J.C."
"CA637","Upper Wright Lakes","PIBA","Pinus balfouriana Balf.","foxtail pine","Graumlich, L.J.",-118.37,36.62,"https://www.ncdc.noaa.gov/paleo/study/1000338","Graumlich, L.J.; Lloyd, A.H.; Bunn, A.; King, J.C."
"CA638","Crabtree","PIBA","Pinus balfouriana Balf.","foxtail pine","Graumlich, L.J.",-118.62,36.97,"https://www.ncdc.noaa.gov/paleo/study/1000339","Graumlich, L.J."
"CA639","Lundy Lake","PIFL","Pinus flexilis E. James","limber pine","Graumlich, L.J.",-119.38,38.08,"https://www.ncdc.noaa.gov/paleo/study/1000340","Graumlich, L.J."
"CA640","Hamilton","JUOC","Juniperus occidentalis Hook.","western juniper","Graumlich, L.J.",-118.92,36.95,"https://www.ncdc.noaa.gov/paleo/study/1000341","Graumlich, L.J."
"CANA106","Lac Duparquet","THOC","Thuja occidentalis L.","northern white-cedar","Archambault, S.",-79.28,48.47,"https://www.ncdc.noaa.gov/paleo/study/1000342","Archambault, S.; Bergeron, Y."
"CANA110","Seymour Watershed Vancouver Upper","THPL","Thuja plicata Donn ex D. Don","western redcedar","Dobry, J.",-123.03,49.53,"https://www.ncdc.noaa.gov/paleo/study/1000343","Dobry, J.; Klinka, K."
"CANA135","Towers Ridge","PIFL","Pinus flexilis E. James","limber pine","MacDonald, G.M.",-114.67,51.17,"https://www.ncdc.noaa.gov/paleo/study/1000344","MacDonald, G.M.; Case, R.A."
"CANA138","Campbell Dolomite Upland","PCGL","Picea glauca (Moench) Voss","white spruce","Szeicz, J.M.",-133.33,68.27,"https://www.ncdc.noaa.gov/paleo/study/1000345","Szeicz, J.M.; MacDonald, G.M.; Lundberg, J."
"CANA148","Dividing Lake Aquatic","PIST","Pinus strobus L.","eastern white pine","Guyette, R.P.",-78.6,45.4,"https://www.ncdc.noaa.gov/paleo/study/1000346","Guyette, R.P.; Cole, B."
"CANA175","Mount Cain","CHNO","Chamaecyparis nootkatensis (D. Don) Spach","Alaska yellow-cedar","Parish, R.",-126.35,50.22,"https://www.ncdc.noaa.gov/paleo/study/1000349","Parish, R."
"CANA328","Siffleur Ridge","PIFL","Pinus flexilis E. James","limber pine","Sauchyn, D.J.",-116.398,52.048,"https://www.ncdc.noaa.gov/paleo/study/1000351","Sauchyn, D.J.; Vanstone, J.; Perez-Valdivia, C."
"CANA330","Whirlpool Point DJS","PIFL","Pinus flexilis E. James","limber pine","Sauchyn, D.J.",-116.45,52,"https://www.ncdc.noaa.gov/paleo/study/1000352","Sauchyn, D.J.; Vanstone, J.; Perez-Valdivia, C."
"WY038","McDougal Pass","PIFL","Pinus flexilis E. James","limber pine","Brown, P.M.",-110.6,42.8,"https://www.ncdc.noaa.gov/paleo/study/10311","Brown, P.M.; Woodhouse, C.A."
"UT524","No Man Mesa","PIED","Pinus edulis Engelm.","pinyon","Woodhouse, C.A.",-112.1333,37.35,"https://www.ncdc.noaa.gov/paleo/study/10312","Woodhouse, C.A.; Barger, N."
"CA671","Coyote Runs","PICO","Pinus contorta Douglas ex Loudon","lodgepole pine","King, J.C.",-119.0167,37.6167,"https://www.ncdc.noaa.gov/paleo/study/10431","King, J.C.; Evans, W.C.; Mangan, M.T.; McGeehin, J.P."
